"ISSN
(print or elec)","si inactif
date
dernier 
num",title host,"editor
in
chief","Autres liens
avec UPC",Affiliation,rattachement,main_subject,"nb 
personne",source,"orga. 
scientifique","Publieurs
/Plateformes","looks like
predatory",model_eco,"modele eco
verbeux","APC 
montant
€","date
enregistrement","identification 
type"
2468-7847,,Journal of Gynecology Obstetrics and Human Reproduction,FALSE,editorial board,"Paris Descartes University, Paris, France",Santé,Health,1,https://www.journals.elsevier.com/journal-of-gynecology-obstetrics-and-human-reproduction,association : Collège National des Gynécologues et Obstétriciens Français,Elsevier,,Hybride,,2580,2022-03-01,catalogue Elsevier
0014-3855,,L'Évolution Psychiatrique,FALSE,editorial board,"Laboratory of Clinical Psychology and Psychopathology (EA 4056), Paris-Descartes University (Paris V) ; Paris Nanterre University, CRPMS - Paris-Diderot University, UFR Psychoanalytic Studies, Paris, France",Santé,Health,2,https://www.journals.elsevier.com/levolution-psychiatrique,,Elsevier,,Hybride,,2710,2022-03-01,"open editors ""descartes"""
1878-6529,,La Revue de Médecine Légale,FALSE,editorial board,"Universite Paris Descartes Laboratoire d'Ethique Medicale et Medecine Legale, Paris, France",Santé,Health,1,https://www.journals.elsevier.com/la-revue-de-medecine-legale,association : Société Française de Médecine Légale,Elsevier,,Hybride,,2360,2022-03-01,catalogue Elsevier
0928-1258,,Médecine Nucléaire,FALSE,editorial board,"Nuclear Medicine Department, Saint-Louis Hospital, Paris, France, University Paris-Diderot, INSERM U976, Paris, France",Santé,Health,1,https://www.journals.elsevier.com/medecine-nucleaire,association : Société Française de Médecine Nucléaire et Imagerie Moléculaire - SFMN,Elsevier,,Hybride,,1800,2022-03-01,catalogue Elsevier
0398-7620,,Revue d'Epidémiologie et de Santé Publique,FALSE,editorial board,Université de Paris ; Institut Pasteur,Institut Pasteur ; Santé ,Health,3,https://www.journals.elsevier.com/revue-depidemiologie-et-de-sante-publique,,Elsevier,,Hybride,,3190,2022-03-01,catalogue Elsevier
1169-8330,,Revue du Rhumatisme,FALSE,editorial board,"INSERM U1132, Paris University, APHP, Department of Rheumatology, Lariboisière Hospital, Paris, France",Santé,Health,1,https://www.journals.elsevier.com/revue-du-rhumatisme,association : French Society of Rheumatology,Elsevier,,Hybride,,2600,2022-03-01,catalogue Elsevier
2667-0089,,Surgery Open Digestive Advance,TRUE,,"Paris University, Lariboisière Hospital, Department of digestive and cancer surgery, Paris, France",Santé,Health,1,https://www.journals.elsevier.com/surgery-open-digestive-advance/editorial-board,,Elsevier,,Hybride,,1780,2022-03-01,catalogue Elsevier
2352-0078,,Toxicologie Analytique et Clinique,FALSE,editorial board,"Paris Descartes, CPSC",Santé,Health,1,https://www.journals.elsevier.com/toxicologie-analytique-et-clinique,association : Société Française de Toxicologie Analytique (SFTA) ; the Société de Toxicologie Clinique (STC),Elsevier,,Hybride,,2000,2022-03-01,catalogue Elsevier
2772-7432,,Medecine et Maladies Infectieuses Formation,FALSE,editorial board,"Service des maladies infectieuses, Université de Paris, Paris , France ; Laboratoire de Parasitologie-Mycologie, Université de Paris, Groupe Hospitalier Saint-Louis-Lariboisière-Fernand-Widal, Assistance Publique-Hôpitaux de Paris (AP-HP), Paris , France",Santé,Health,2,https://www.journals.elsevier.com/medecine-et-maladies-infectieuses-formation,association : Société de Pathologie Infectieuse de Langue Française,Elsevier,,Subscription,,,2022-03-01,catalogue Elsevier
0033-2984,,Psychologie Française,FALSE,editorial board,Université de Paris,Société et Humanités,HSS,1,https://www.journals.elsevier.com/psychologie-francaise,association : Société française de psychologie,Elsevier,,Subscription,,,2022-03-01,catalogue Elsevier
0761-8425,,Revue des Maladies Respiratoires,FALSE,editorial board,AP-HP - Paris VII Diderot,Santé,Health,1,https://www.journals.elsevier.com/revue-des-maladies-respiratoires,association : Société de Pneumologie de Langue Française,Elsevier,,Subscription,,,2022-03-01,catalogue Elsevier
1778-7432,2009,Acquisition et interaction en langues étrangères,FALSE,editorial board,Université Paris V,Sociétés et Humanités,HSS,1,https://journals.openedition.org/aile/1528,association : Association Encrages,OpenEdition,,Diamond,no licence,,2022-03-04,catalogue openedition
2108-6354,,"ASp, la revue du GERAS",FALSE,reviewer,Université Paris Diderot  ,Sociétés et Humanités,HSS,1,https://journals.openedition.org/asp/2434,association : Groupe d'étude et de recherche en anglais de spécialité,OpenEdition,,Delayed OA,OA après embargo d'un an,,2022-03-03,catalogue openedition
2105-2581,,Economie rurale,TRUE,,Université de Paris,Sociétés et Humanités,HSS,1,https://journals.openedition.org/economierurale/2350,association : Société Française d'Economie Rurale,OpenEdition,,Delayed OA,OA après embargo d'un an,,2022-03-03,catalogue openedition
1996-4609,,Perspectives chinoises,FALSE,reviewer,Université Paris Diderot,Sociétés et Humanités,HSS,2,https://journals.openedition.org/perspectiveschinoises/1097,institut : Centre d'étude français sur la Chine contemporaine,OpenEdition,,Delayed OA,OA après embargo d'un an,,2022-03-04,catalogue openedition
1777-5418,,Revue européenne des migrations internationales,FALSE,editorial board,"CEPED, Université de Paris/IRD ; URMIS, Université de Paris/CNRS/IRD",Sociétés et Humanités,HSS,6,https://journals.openedition.org/remi/3811,,OpenEdition,,Delayed OA,OA après embargo d'un an,,2022-03-04,catalogue openedition
1286-4986,,Alsic,FALSE,reviewer,université Paris 5 ; Université Paris Diderot ; Université Paris Descartes,Sociétés et Humanités,HSS,3,https://journals.openedition.org/alsic/964,association : Adalsic,OpenEdition,,Diamond,,,2022-03-03,catalogue openedition
1764-7193,,"Amnis, Revue d’études des sociétés et cultures contemporaines Europe/Amérique",FALSE,personne support,"Université Paris Diderot (Paris VII), CERILAC",Sociétés et Humanités,HSS,1,https://journals.openedition.org/amnis/372,laboratoire : TELEMME UMR 6570,OpenEdition,,Diamond,,,2022-03-03,catalogue openedition
